"平均到达
时间间隔","平均服务
时间",顾客数目,"服务顾客
数目","队列中平均
等待客户数","平均
等待时间","平均
逗留时间","实际平均
服务时间","服务器
利用率",
0.15,0.3,3000.0,1000.0,7.609,37.225,74.821,0.2957,1.0001,"
"
0.15,0.3,3000.0,1100.0,9.3953,43.720,90.612,0.3095,1.0030,"
"
0.15,0.3,3000.0,1200.0,11.516,46.851,95.018,0.2995,1.0002,"
"
0.15,0.3,3000.0,1300.0,11.859,48.538,99.433,0.3032,1.0004,"
"
0.15,0.3,3000.0,1400.0,15.034,53.562,109.87,0.3059,0.9989,"
"
0.15,0.3,3000.0,1500.0,15.423,54.441,108.05,0.3004,0.9997,"
"
0.15,0.3,3000.0,1600.0,15.184,59.606,120.77,0.2998,0.9994,"
"
0.15,0.3,3000.0,1700.0,21.607,65.282,133.43,0.2975,1.0013,"
"
0.15,0.3,3000.0,1800.0,22.422,66.476,138.76,0.3074,0.9961,"
"
0.15,0.3,3000.0,1900.0,24.282,72.103,144.16,0.2960,1.0009,"
"
0.15,0.3,3000.0,2000.0,24.635,69.779,134.26,0.2913,1.0000,"
"
0.15,0.3,3000.0,2100.0,38.952,86.128,177.20,0.3092,0.9990,"
"
0.15,0.3,3000.0,2200.0,36.879,86.647,176.59,0.3073,0.9994,"
"
0.15,0.3,3000.0,2300.0,29.374,81.317,156.00,0.2969,1.0000,"
"
0.15,0.3,3000.0,2400.0,37.635,87.046,172.89,0.2885,1.0007,"
"
0.15,0.3,3000.0,2500.0,48.452,97.045,195.09,0.3055,0.9996,"
"
0.15,0.3,3000.0,2600.0,45.916,93.082,190.32,0.2970,0.9988,"
"
0.15,0.3,3000.0,2700.0,55.076,100.30,199.11,0.2941,0.9999,"
"
0.15,0.3,3000.0,2800.0,61.698,94.235,181.76,0.2987,0.9996,"
"
0.15,0.3,3000.0,2900.0,53.763,110.54,223.07,0.3021,1.0006,"
"
0.15,0.3,3000.0,3000.0,56.345,108.36,212.40,0.2956,0.9994,"
"
0.15,0.15,3000.0,1000.0,0.0733,1.3960,1.5466,0.1464,0.8691,"
"
0.15,0.15,3000.0,1100.0,0.168,1.7330,1.9367,0.1516,0.9336,"
"
0.15,0.15,3000.0,1200.0,0.178,2.8937,3.1364,0.1511,0.9629,"
"
0.15,0.15,3000.0,1300.0,0.238,3.0502,3.3015,0.1504,0.9184,"
"
0.15,0.15,3000.0,1400.0,0.62,11.198,12.330,0.1565,0.9937,"
"
0.15,0.15,3000.0,1500.0,0.2206,3.3403,3.6315,0.1486,0.9822,"
"
0.15,0.15,3000.0,1600.0,0.277,3.1041,3.3429,0.1494,0.9416,"
"
0.15,0.15,3000.0,1700.0,0.4283,3.7072,3.9827,0.1489,0.9369,"
"
0.15,0.15,3000.0,1800.0,0.2156,1.6256,1.7779,0.1469,0.9470,"
"
0.15,0.15,3000.0,1900.0,0.4883,4.4688,4.7718,0.1524,0.9891,"
"
0.15,0.15,3000.0,2000.0,0.2756,2.5451,2.7134,0.1466,0.9490,"
"
0.15,0.15,3000.0,2100.0,0.9483,8.2572,9.0108,0.1559,0.9752,"
"
0.15,0.15,3000.0,2200.0,0.2703,1.8262,1.9994,0.1474,0.9333,"
"
0.15,0.15,3000.0,2300.0,1.5936,11.500,12.307,0.1570,0.9833,"
"
0.15,0.15,3000.0,2400.0,1.2176,7.2347,7.7785,0.1518,0.9777,"
"
0.15,0.15,3000.0,2500.0,0.4543,3.2491,3.4650,0.1483,0.9442,"
"
0.15,0.15,3000.0,2600.0,0.3133,2.3751,2.5652,0.1498,0.9373,"
"
0.15,0.15,3000.0,2700.0,0.7326,6.4646,6.7387,0.1495,0.9510,"
"
0.15,0.15,3000.0,2800.0,0.5553,3.6956,3.8695,0.1501,0.9587,"
"
0.15,0.15,3000.0,2900.0,0.5126,4.1404,4.3356,0.1480,0.9654,"
"
0.15,0.15,3000.0,3000.0,0.3933,2.3778,2.5297,0.1487,0.9370,"
"
0.15,0.1,3000.0,1000.0,0.009,0.1812,0.2797,0.0985,0.5225,"
"
0.15,0.1,3000.0,1100.0,0.0293,0.2050,0.3118,0.1064,0.5651,"
"
0.15,0.1,3000.0,1200.0,0.0073,0.1831,0.2819,0.0988,0.5049,"
"
0.15,0.1,3000.0,1300.0,0.0193,0.1968,0.2956,0.0988,0.4891,"
"
0.15,0.1,3000.0,1400.0,0.016,0.1912,0.2924,0.1012,0.4918,"
"
0.15,0.1,3000.0,1500.0,0.0146,0.2107,0.3112,0.1005,0.5053,"
"
0.15,0.1,3000.0,1600.0,0.0316,0.2320,0.3365,0.1042,0.5292,"
"
0.15,0.1,3000.0,1700.0,0.022,0.1938,0.2964,0.1026,0.5258,"
"
0.15,0.1,3000.0,1800.0,0.0246,0.1901,0.2893,0.0991,0.4986,"
"
0.15,0.1,3000.0,1900.0,0.0283,0.2291,0.3303,0.1011,0.5330,"
"
